team,week,R,HR,RBI,SB,AVG,K,QS,SV,ERA,WHIP
MaB,13,51.0,14.0,44.0,5.0,0.30420712,46.0,3.0,1.0,4.24528302,1.16981132
MaB,14,66.0,16.0,65.0,5.0,0.28008753,77.0,2.0,3.0,3.91935484,1.38709677
MaB,15,45.0,13.0,39.0,4.0,0.26755853,48.0,3.0,2.0,5.4,1.22068966
MaB,17,43.0,13.0,37.0,0.0,0.23529412,67.0,1.0,1.0,5.57608696,1.48369565
MaB,18,46.0,8.0,31.0,2.0,0.21993127,39.0,2.0,0.0,5.86046512,1.39534884
MaB,19,50.0,10.0,40.0,4.0,0.26415094,37.0,3.0,4.0,1.58823529,0.94117647
MaB,20,45.0,10.0,29.0,4.0,0.26875,34.0,2.0,2.0,3.64285714,1.38095238
JBW,2,34.0,8.0,43.0,11.0,0.26168224,81.0,4.0,5.0,3.27272727,1.13636364
JBW,3,47.0,16.0,52.0,2.0,0.22955975,78.0,2.0,1.0,4.43076923,1.24615385
JBW,4,42.0,14.0,43.0,10.0,0.26923077,49.0,4.0,6.0,3.12804878,1.06097561
JBW,5,49.0,12.0,47.0,5.0,0.28881988,73.0,5.0,7.0,2.97,0.99
JBW,6,32.0,12.0,31.0,4.0,0.20711974,50.0,4.0,2.0,5.4,1.56666667
JBW,7,49.0,17.0,52.0,10.0,0.26426426,61.0,4.0,3.0,5.08064516,1.38709677
JBW,8,48.0,10.0,30.0,5.0,0.22742475,58.0,6.0,5.0,1.97560976,0.75
JBW,9,48.0,12.0,53.0,6.0,0.27607362,57.0,0.0,7.0,4.33928571,1.375
JBW,10,37.0,10.0,33.0,5.0,0.26739927,58.0,3.0,4.0,4.12941176,1.21764706
JBW,11,41.0,14.0,34.0,2.0,0.24137931,65.0,5.0,5.0,3.85714286,1.13736264
JBW,13,40.0,9.0,45.0,8.0,0.22397476,59.0,1.0,3.0,4.725,1.5
JBW,14,60.0,17.0,57.0,4.0,0.22,96.0,3.0,3.0,5.76284585,1.68379447
JBW,15,40.0,16.0,44.0,2.0,0.23248408,52.0,2.0,6.0,4.29545455,1.44886364
JBW,16,51.0,12.0,37.0,2.0,0.28115016,65.0,4.0,4.0,4.1641791,1.20895522
JBW,17,38.0,5.0,30.0,2.0,0.24534161,56.0,4.0,2.0,4.57377049,1.37704918
JBW,18,46.0,13.0,44.0,3.0,0.27210884,61.0,5.0,7.0,3.64186047,1.35348837
JBW,19,41.0,9.0,35.0,8.0,0.26129032,70.0,7.0,4.0,2.88837209,0.97674419
JBW,20,39.0,10.0,38.0,4.0,0.26645768,62.0,6.0,3.0,2.80188679,1.06132075
